host_is_superhost,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,number_of_reviews,review_scores_rating,z_score
True,True,1015 KK,52.38057059973004,4.885651833945759,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,105.0,"$1,500.00",105.0,105.0,30,88.0,0.3509666744258256
True,True,1017,52.360092579387,4.894611813107176,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,115.0,$695.00,115.0,115.0,16,97.0,0.2693933303796415
True,True,1012,52.37496960705205,4.898844426998336,t,Apartment,Private room,2,1.0,1.0,1.0,150.0,$680.00,150.0,150.0,245,98.0,0.016113373782002467
True,True,1015,52.380373322653654,4.880206599315086,t,Bed and breakfast,Private room,2,1.0,0.0,1.0,90.0,630.0,90.0,90.0,177,95.0,0.47332669049510157
True,True,1012,52.37614418117013,4.898936685217519,t,Apartment,Private room,2,1.0,1.0,1.0,150.0,$610.00,150.0,150.0,283,97.0,0.016113373782002467
True,True,1098,52.352505914635245,4.943384214796724,t,House,Private room,2,1.0,1.0,1.0,95.0,$399.00,95.0,95.0,8,93.0,0.43254001847200957
True,True,1021,52.38170518097546,4.91440092191971,t,Apartment,Private room,2,1.0,1.0,1.0,105.0,$650.00,105.0,105.0,23,95.0,0.3509666744258256
True,True,1031,52.38744099692565,4.909601962312537,t,House,Entire home/apt,3,1.0,2.0,3.0,74.0,$440.00,74.0,74.0,5,92.0,0.603844040968996
True,True,1053 AW,52.36627391376461,4.864991946686574,t,Townhouse,Entire home/apt,3,1.0,2.0,3.0,164.0,1148.0,164.0,164.0,4,100.0,0.13031605544666008
True,True,1074,52.35755028092293,4.901441987906591,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,117.0,$710.00,117.0,117.0,83,97.0,0.25307866157040476
True,True,1091,52.35668265041882,4.916947232348021,t,Apartment,Private room,1,0.0,1.0,1.0,45.0,$275.00,45.0,45.0,9,97.0,0.8404067387029296
True,True,1016,52.37154368698248,4.875964528610951,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,125.0,$750.00,125.0,125.0,83,96.0,0.18781998633345753
True,True,1015,52.379971950216856,4.887070399875172,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,126.0,$700.00,126.0,126.0,14,97.0,0.17966265192883915
True,True,1016,52.370938776639,4.876535074104979,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,155.0,$750.00,155.0,155.0,79,94.0,0.056900045805094474
True,True,1014 DB,52.384484691901044,4.871161920402936,t,Apartment,Entire home/apt,4,1.0,1.0,4.0,295.0,2065.0,295.0,295.0,121,98.0,1.1989268624516705
